identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
app.marionnaud.ro,URL,This is the API server of the Marionnaud mobile app in Romania,true,true,high,high,high,critical,,2023-03-14 15:38:45 UTC,2023-07-13 09:22:17 UTC
blog.watsons.com.tr,URL,This is the wordpress blog for Watsons Turkey. This asset is regarded as (Tier 3) subdomain.,true,true,low,low,low,medium,Wordpress,2023-03-27 08:46:10 UTC,2024-09-12 08:06:53 UTC
www.watsons.co.th,URL,"This is our online retail platform for health and beauty products in Thailand. 
If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-17 10:10:21 UTC,2024-09-12 13:21:16 UTC
https://www.iciparisxl.be/blog/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,medium,Wordpress,2023-03-14 15:03:39 UTC,2025-01-28 08:50:10 UTC
app.superdrug.com,URL,This is the API server for the Superdrug mobile app,true,true,high,high,high,critical,,2023-03-14 15:25:16 UTC,2023-07-13 09:22:16 UTC
mapi.moneyback.com.hk,URL,This is the API Server for our MoneyBack Mobile App,true,true,high,high,high,critical,,2023-03-15 16:18:36 UTC,2023-07-13 09:22:32 UTC
https://www.kruidvat.nl/blog/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,medium,Wordpress,2023-03-14 14:03:26 UTC,2025-01-28 09:02:35 UTC
Kruidvat.Belgium.iOS,APPLE_STORE_APP_ID,"This is our Dutch online retail mobile app for Belgium customers. If you are testing functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.
This app is similar to other apps (Such as Superdrug). Please keep in mind that issues might be considered duplicates if it is reported on another website already.
App Link
https://apps.apple.com/be/app/kruidvat/id1151434781",true,true,high,high,high,critical,,2023-03-15 16:24:41 UTC,2023-07-13 09:22:32 UTC
www.watsons.com.tr,URL,"This is our Turkish online retail platform for health and beauty products. 
If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-27 08:46:10 UTC,2024-09-12 13:24:23 UTC
www.watsons.com.hk,URL,"This is our online retail platform for health and beauty products in Hong Kong. 
If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-17 10:10:21 UTC,2024-09-12 13:22:02 UTC
Marionnaud.Italy.Android,GOOGLE_PLAY_APP_ID,"This is our Marionnaud (Android) app in Italy. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=it.marionnaud.customer",true,true,high,high,high,critical,,2023-03-15 14:18:44 UTC,2023-07-13 09:22:23 UTC
Watsons.Singapore.Android,GOOGLE_PLAY_APP_ID,"This is our Watsons Singapore Mobile (Android) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=com.watsons.sg.android",true,true,high,high,high,critical,,2023-03-17 05:30:06 UTC,2023-07-13 09:22:37 UTC
app.marionnaud.hu,URL,This is the API server of the Marionnaud mobile app in Hungary,true,true,high,high,high,critical,,2023-03-14 15:38:45 UTC,2023-07-13 09:22:17 UTC
www.watsons.com.sg,URL,"This is our online retail platform for health and beauty products in Singapore. 
If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-17 10:10:20 UTC,2024-09-12 13:23:29 UTC
app.marionnaud.it,URL,This is the API server of the Marionnaud mobile app in Italy,true,true,high,high,high,critical,,2023-03-14 15:38:45 UTC,2023-07-13 09:22:17 UTC
PNS (subdomains),OTHER,"This asset is specifically for PNS's subdomain assets.
Please note that for subdomains (tier 3), will only pay out reports that have a high or critical severity.

In Scope
=========
> \*.pns.hk/
> \*.parknshop.com/",true,true,high,high,high,critical,,2022-08-02 02:04:41 UTC,2025-01-28 09:20:16 UTC
https://www.iciparisxl.lu/blog/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,medium,Wordpress,2023-03-14 15:04:44 UTC,2025-01-28 08:51:36 UTC
media.iciparisxl.be,URL,This subdomain is used to store static content for the www.iciparisxl.be e-commerce website,true,true,,,,critical,,2024-08-29 07:49:11 UTC,2024-09-12 07:53:10 UTC
api.marionnaud.ch,URL,"This is the API server for the www.marionnaud.ch e-commerce website.
",true,true,,,,critical,,2024-09-25 07:57:56 UTC,2024-09-25 07:58:29 UTC
https://www.marionnaud.ro/m-life/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,critical,,2023-03-14 15:49:48 UTC,2023-07-13 09:22:22 UTC
www10.watsons.com.my,URL,This is the API server for the Watsons Malaysia Mobile App,true,true,high,high,high,critical,,2023-03-17 10:10:21 UTC,2024-09-12 13:35:50 UTC
Drogas.Latvia.iOS,APPLE_STORE_APP_ID,"This is our Drogas (iOS) app in Latvia. Please make sure to consult our policy page to see which items are out of scope for mobile apps.
App Link
https://apps.apple.com/lv/app/drogas/id1564705644",true,true,high,high,high,critical,,2024-09-12 14:09:41 UTC,2024-12-12 14:10:57 UTC
https://www.kruidvat.be/blog/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,medium,Wordpress,2023-03-14 14:25:51 UTC,2025-01-28 09:36:17 UTC
Drogas (subdomains),OTHER,"This asset is specifically for Drogas' subdomain assets.
Please note that for subdomains (tier 3), will only handle reports that have a high or critical severity.

In scope
=====================
>\*.drogas.lv
>\*.drogas.lt",true,true,medium,medium,medium,critical,,2024-09-12 14:01:18 UTC,2024-12-12 14:07:11 UTC
api.iciparisxl.be,URL,This is the API server for the www.iciparisxl.be website,true,true,high,high,high,critical,,2023-09-12 08:27:17 UTC,2024-09-12 07:55:15 UTC
medias.watsons.co.id,URL,This subdomain is used to store static content for the www.watsons.co.id e-commerce website.,true,true,,,,critical,,2024-08-29 11:36:03 UTC,2024-09-12 08:41:36 UTC
